tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:07:27.00	34.26128965	g	-27.217619	5.08E-06	1204936	0.067	u				
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:07:42.00	40.93957873	g	-7.882142034	3.30E-06	1204937	0.267	u				
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:07:56.00	22.97554218	g	-30.47752536	1.04E-05	1204938	0.467	u				
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:08:10.00	37.19621685	g	-32.15718118	7.61E-06	1204939	0.667	u				
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:08:24.00	34.7649214	g	-48.70711696	2.13E-06	1204940	0.867	u				
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:08:38.00	-54.43966583	g	-59.6678183	1.34E-06	1204941	1.067	u				
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:08:53.00	255.0718125	g	-37.07792374	3.00E-06	1204942	1.267	u				
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:12:11:09:07.00	268.3407845	g	-39.71762188	2.48E-06	1204943	1.467	u				
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:42:43.00	44.96925474	g	-20.33707667	1.50E-06	1205995	0.067	u				77
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:42:57.00	50.74843708	g	0.360411148	1.03E-06	1205996	0.267	u				77
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:43:11.00	32.81701688	g	-24.65328613	3.02E-06	1205997	0.467	u				77
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:43:25.00	44.00887195	g	-27.41305601	2.17E-06	1205998	0.667	u				77
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:43:39.00	-78.93729428	g	-60.60835734	3.32E-07	1205999	0.867	u				77
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:43:54.00	-89.50663018	g	-21.6225003	5.27E-07	1206000	1.067	u				77
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:44:08.00	238.6943958	g	-24.58578384	1.36E-06	1206001	1.267	u				77
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:03:14:11:44:22.00	252.0683931	g	-29.54368851	8.68E-07	1206002	1.467	u				77
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:53:45.00	44.92929537	g	-20.26868483	1.49E-06	1206004	0.067	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:54:00.00	51.07406777	g	0.471815639	1.02E-06	1206005	0.267	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:54:16.00	33.02770865	g	-24.5925463	3.00E-06	1206006	0.467	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:54:31.00	44.17526371	g	-27.31556269	2.15E-06	1206007	0.667	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:54:46.00	-80.88539254	g	-59.5416377	3.31E-07	1206008	0.867	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:55:01.00	-89.51119794	g	-20.92536664	5.29E-07	1206009	1.067	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:55:17.00	238.5530797	g	-24.50585155	1.35E-06	1206010	1.267	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:55:32.00	252.074642	g	-29.42954036	8.64E-07	1206011	1.467	u		0.001		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:59:02.00	45.01058707	g	-20.10224969	1.47E-06	1206012	0.067	u		0.0015		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:59:17.00	51.37689078	g	0.615550922	1.01E-06	1206013	0.267	u		0.0015		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:59:32.00	33.14523951	g	-24.537035	2.97E-06	1206014	0.467	u		0.0015		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:11:59:47.00	44.33054232	g	-27.21769215	2.13E-06	1206015	0.667	u		0.0015		
