tab 	er_samples											
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_description	sample_dip	sample_elevation	sample_lat	sample_lon
This study	Botswana 2012	Suping Sill	PW12-10	PW12	304.5	10	281.16	pmag core	-16		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-11	PW12	289.9	10	281.16	pmag core	-16		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-12	PW12	338.3	10	281.16	pmag core	-13		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-1	PW12	326.8	10	281.16	pmag core	-16		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-2	PW12	315.4	10	281.16	pmag core	-13		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-3	PW12	310.5	10	281.16	pmag core	-30		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-4	PW12	194.7	10	281.16	pmag core	-17		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-5	PW12	276.8	10	281.16	pmag core	-25		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-6	PW12	304.2	10	281.16	pmag core	-26		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-7	PW12	245.7	10	281.16	pmag core	-12		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-8	PW12	338.1	10	281.16	pmag core	-9		-24.3279	25.5338
This study	Botswana 2012	Suping Sill	PW12-9	PW12	294.5	10	281.16	pmag core	-18		-24.3279	25.5338
