tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:10:21:26.00	259.9490841	g	7.085568038	7.82E-05	1174122		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:10:30:03.00	254.4598572	g	-8.147659131	8.45E-05	1174123		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:10:42:00.00	-186.5191147	g	-23.03788917	0.000315135	1174124		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:10:53:45.00	245.1799077	g	12.83160391	6.00E-05	1174125		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:11:02:21.00	-85.38784592	g	-50.92882174	0.000802036	1174126		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-7	PW2	PW2-7a	"PW2-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:11:11:13.00	38.69437579	g	12.11499337	0.000437905	1174135		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:11:19:09.00	-229.7580496	g	19.75975319	0.000142565	1174136		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:26:11:26:08.00	-251.6443695	g	57.07141887	0.00014716	1174137		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-NO	2013:02:27:12:14:34.00	261.6524874	g	8.023861216	7.42E-05	1174631		u	0		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:21:19.00	259.5961004	g	-1.501047481	4.92E-05	1174648		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:27:49.00	-187.1283658	g	-25.67401883	0.000150195	1174657		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:34:24.00	242.7265649	g	11.70112846	2.52E-05	1174666		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:40:19.00	-81.15094198	g	-51.43449523	0.00040719	1174667		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-7	PW2	PW2-7a	"PW2-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:47:06.00	41.55499524	g	12.65152042	0.00036476	1174684		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:53:19.00	-228.9493616	g	20.76013339	6.94E-05	1174685		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-LT-Z	2013:02:27:12:59:38.00	-250.2141728	g	56.99061247	7.57E-05	1174694		u	0		77
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:12:15.00	260.7476028	g	8.020989481	7.45E-05	1219682		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:19:40.00	261.9393327	g	-1.789191128	4.81E-05	1219683		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:25:33.00	-184.4296745	g	-26.15686464	0.000146292	1219684		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:32:21.00	243.309839	g	10.89789	2.27E-05	1219685		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:38:50.00	-79.60930051	g	-51.47589394	0.000397138	1219686		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-7	PW2	PW2-7a	"PW2-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:46:56.00	42.77748656	g	13.83646314	0.00036235	1219687		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:11:54:39.00	-228.9746198	g	22.38421692	6.87E-05	1219688		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:03:27:12:02:31.00	-247.3146253	g	57.97905567	7.42E-05	1219689		u	0.005		
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:11:38:34.00	264.4184594	g	9.065086241	7.38E-05	1224093		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:11:46:38.00	261.6311741	g	0.358970106	3.83E-05	1224094		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:11:54:29.00	-183.6250372	g	-27.03199901	0.000123006	1224095		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:12:02:52.00	244.1166569	g	6.109863222	1.27E-05	1224096		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:12:09:23.00	-77.4787022	g	-51.38754855	0.00033244	1224097		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-7	PW2	PW2-7a	"PW2-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:12:17:26.00	46.57868757	g	13.3992414	0.000339149	1224098		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:12:23:13.00	-223.0857593	g	22.31960274	4.96E-05	1224099		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:09:12:28:46.00	-241.0369615	g	57.72013677	5.72E-05	1224100		u	0.01		
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:13:50:30.00	261.8495492	g	9.417232389	6.89E-05	1225450		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:13:59:29.00	267.7229311	g	2.380239625	2.46E-05	1225466		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:09:49.00	-185.6941096	g	-26.38611821	8.87E-05	1225482		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:16:59.00	245.5664239	g	3.014660682	6.79E-06	1225488		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:23:28.00	-74.49615207	g	-51.44475435	0.000239348	1225489		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-7	PW2	PW2-7a	"PW2-7a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:39:31.00	47.1922507	g	14.82675686	0.000294515	1225498		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:47:30.00	-220.78496	g	20.08025237	2.55E-05	1225515		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:11:14:54:10.00	-240.9372689	g	57.87108726	3.40E-05	1225524		u	0.015		
This study	Botswana 2012	Kgale Peak Sill	PW2-1	PW2	PW2-1a	"PW2-1a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:17:09:55:27.00	265.4155401	g	9.513985893	6.21E-05	1229471		u	0.02		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:17:10:01:53.00	264.4533678	g	4.277586062	1.53E-05	1229479		u	0.02		
This study	Botswana 2012	Kgale Peak Sill	PW2-3	PW2	PW2-3a	"PW2-3a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:17:10:08:20.00	-185.4690155	g	-26.40621719	5.71E-05	1229487		u	0.02		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:17:10:14:21.00	245.4794924	g	2.354844904	4.65E-06	1229502		u	0.02		
This study	Botswana 2012	Kgale Peak Sill	PW2-6	PW2	PW2-6a	"PW2-6a:NRM_demag(T,Hac)1"	IRM-SRM	LT-AF-Z	2013:04:17:10:20:39.00	-77.03769969	g	-52.61550391	0.000158571	1229510		u	0.02		
