tab 	magic_measurements																			
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:38:25.00	-213.2987902	g	-85.78176043	2.34E-05	1205397	0.067	u				
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:38:39.00	57.49218569	g	-65.14862895	3.02E-05	1205398	0.267	u				
This study	Botswana 2012	Masama 1 Sill	PW34-3	PW34	PW34-3a	"PW34-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:38:53.00	19.95422837	g	-58.36258719	3.32E-05	1205399	0.467	u				
This study	Botswana 2012	Masama 1 Sill	PW34-5	PW34	PW34-5a	"PW34-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:39:07.00	35.31961885	g	-14.19511284	1.28E-05	1205400	0.667	u				
This study	Botswana 2012	Masama 1 Sill	PW34-6	PW34	PW34-6a	"PW34-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:39:21.00	49.56672041	g	-17.85584155	1.26E-05	1205401	0.867	u				
This study	Botswana 2012	Masama 1 Sill	PW34-7	PW34	PW34-7a	"PW34-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:39:35.00	-38.43664046	g	-13.84864972	1.28E-05	1205402	1.067	u				
This study	Botswana 2012	Masama 1 Sill	PW34-8	PW34	PW34-8a	"PW34-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:39:49.00	-254.3059289	g	-26.67860285	1.49E-05	1205403	1.267	u				
This study	Botswana 2012	Masama 1 Sill	PW34-9	PW34	PW34-9a	"PW34-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-NO	2013:03:13:10:40:04.00	243.9546462	g	-24.40806926	1.53E-05	1205404	1.467	u				
This study	Botswana 2012	Masama 1 Sill	PW34-1	PW34	PW34-1a	"PW34-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:18:17:49:02.00	-231.8095747	g	-69.60637284	1.08E-05	1231238	0.067	u				77
This study	Botswana 2012	Masama 1 Sill	PW34-2	PW34	PW34-2a	"PW34-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-LT-Z	2013:04:18:17:49:16.00	57.71604869	g	-56.73563763	1.75E-05	1231239	0.267	u				77
