tab 	er_specimens						
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Botswana 2012	Semarule Hill Sill	PW9-4	PW9	PW9-4a	0	0.005994
This study	Botswana 2012	Semarule Hill Sill	PW9-4	PW9	PW9-4b	0	0.0055106
This study	Botswana 2012	Semarule Hill Sill	PW9-5	PW9	PW9-5a	0	0.0056765
This study	Botswana 2012	Semarule Hill Sill	PW9-5	PW9	PW9-5b	0	0.0055543
This study	Botswana 2012	Semarule Hill Sill	PW9-6	PW9	PW9-6a	0	0.0054492
This study	Botswana 2012	Semarule Hill Sill	PW9-6	PW9	PW9-6b	0	0.006325
This study	Botswana 2012	Semarule Hill Sill	PW9-6	PW9	PW9-6c	0	6.37E-05
This study	Botswana 2012	Semarule Hill Sill	PW9-7	PW9	PW9-7a	0	0.0051674
This study	Botswana 2012	Semarule Hill Sill	PW9-7	PW9	PW9-7b	0	0.0052731
This study	Botswana 2012	Semarule Hill Sill	PW9-8	PW9	PW9-8a	0	0.0058981
This study	Botswana 2012	Semarule Hill Sill	PW9-8	PW9	PW9-8b	0	0.0056249
This study	Botswana 2012	Semarule Hill Sill	PW9-10	PW9	PW9-10a	0	0.0052104
This study	Botswana 2012	Semarule Hill Sill	PW9-10	PW9	PW9-10b	0	0.0055006
This study	Botswana 2012	Semarule Hill Sill	PW9-11	PW9	PW9-11a	0	0.0051207
This study	Botswana 2012	Semarule Hill Sill	PW9-11	PW9	PW9-11b	0	0.0058354
This study	Botswana 2012	Semarule Hill Sill	PW9-12	PW9	PW9-12a	0	0.0057806
This study	Botswana 2012	Semarule Hill Sill	PW9-12	PW9	PW9-12b	0	0.0063593
