tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-03-04 13:04:36	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	192.2	average of multiple measurements	g	39.7	8.463e-06	1	2.0	273	2.30e-08	1.02e-07	2.74e-08	0	0	273
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-03-07 17:00:17	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	197.6		g	42.3	4.12e-06	2	1	273	4.40e-08	1.86e-07	2.67e-08	0	0	323.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-03-14 14:18:19	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	197.7		g	42.5	4.04e-06	3	1	273	3.50e-08	1.88e-07	2.61e-08	0	0	373.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-03-18 14:36:18	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	198.3		g	42.6	3.90e-06	4	1	273	2.53e-08	1.15e-07	2.62e-08	0	0	423.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-03-31 12:11:34	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.5	199.6		g	42.9	3.67e-06	5	1	273	5.05e-08	2.22e-07	2.65e-08	0	0	473.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-04-02 14:03:14	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.1	197.9		g	43.1	3.49e-06	6	1	273	5.25e-08	1.81e-07	2.28e-08	0	0	523.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-04-15 12:10:11	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	198.6		g	43.2	3.34e-06	7	1	273	2.89e-08	1.11e-07	2.24e-08	0	0	573.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-04-22 13:58:56	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.7	198.6		g	43.4	3.14e-06	8	1	273	9.43e-09	3.49e-08	1.90e-08	0	0	623.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-04-28 11:04:42	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.0	200.5		g	43.6	2.92e-06	9	1	273	4.71e-08	1.43e-07	1.89e-08	0	0	673.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-04-30 15:21:52	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	198.5		g	44.0	2.72e-06	10	1	273	2.82e-08	9.21e-08	1.62e-08	0	0	698.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-05-02 18:47:35	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	199.3		g	44.5	2.50e-06	11	1	273	2.68e-08	1.07e-07	1.54e-08	0	0	723.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-05-05 12:59:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.5	204.2		g	44.9	2.21e-06	12	1	273	6.15e-08	1.65e-07	1.48e-08	0	0	748.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-05-07 19:27:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.5	198.3		g	45.9	1.90e-06	13	1	273	1.22e-08	1.26e-08	1.33e-08	0	0	773.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-05-27 16:17:52	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.8	199.8		g	47.0	1.62e-06	14	1	273	2.04e-08	1.06e-07	1.20e-08	0	0	793.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-06-09 16:21:28	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.7	199.6		g	47.2	1.33e-06	15	1	273	2.15e-09	1.50e-08	8.62e-09	0	0	813.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-06-13 15:10:09	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.0	198.0		g	50.6	9.16e-07	16	1	273	2.31e-09	1.64e-08	6.09e-09	0	0	823.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-06-24 16:59:51	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	177.7		g	62.4	3.39e-07	17	1	273	5.33e-09	6.13e-09	3.04e-09	0	0	833.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-06-25 17:37:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	144.0		g	64.2	1.76e-07	18	1	273	4.01e-09	1.54e-09	1.70e-09	0	0	836.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-07-01 17:04:26	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	100.1		g	64.8	1.04e-07	19	1	273	2.68e-09	6.36e-10	7.86e-10	0	0	839.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-07-03 15:17:19	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.2	085.5		g	61.1	6.67e-08	20	1	273	2.43e-09	8.75e-10	6.34e-10	0	0	842.0
This study	This study	UMK_BOT	PW29.3b	PW29	PW29.3b	PW29.3b:LP-DIR-T	hargrave 2014-07-08 14:59:48	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	087.7		g	54.5	4.60e-08	21	1	273	2.12e-09	7.73e-10	3.34e-10	0	0	845.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-03-04 13:06:13	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.5	269.5	average of multiple measurements	g	6.5	2.726e-05	1	2.0	273	9.32e-07	4.93e-08	1.65e-07	0	0	273
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-03-07 17:01:48	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	274.4		g	03.8	1.68e-05	2	1	273	7.28e-07	5.31e-08	1.59e-07	0	0	323.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-03-14 14:20:02	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.1	274.7		g	03.7	1.66e-05	3	1	273	8.84e-07	6.21e-08	1.70e-07	0	0	373.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-03-18 14:37:59	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	276.7		g	03.6	1.62e-05	4	1	273	3.91e-07	4.52e-08	1.47e-07	0	0	423.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-03-31 12:13:11	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.7	278.0		g	03.2	1.56e-05	5	1	273	9.93e-07	8.89e-08	1.43e-07	0	0	473.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-04-02 14:04:46	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	276.1		g	03.0	1.51e-05	6	1	273	6.98e-07	6.80e-08	1.40e-07	0	0	523.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-04-15 12:11:44	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.6	277.6		g	02.8	1.47e-05	7	1	273	9.14e-07	1.12e-07	1.37e-07	0	0	573.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-04-22 14:00:32	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	277.6		g	02.6	1.40e-05	8	1	273	6.65e-07	9.06e-08	1.28e-07	0	0	623.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-04-28 11:06:14	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	279.5		g	02.3	1.32e-05	9	1	273	4.33e-07	6.46e-08	1.20e-07	0	0	673.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-04-30 15:23:21	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.1	279.8		g	02.1	1.24e-05	10	1	273	8.72e-07	1.54e-07	1.13e-07	0	0	698.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-05-02 18:49:09	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.2	278.6		g	01.7	1.16e-05	11	1	273	6.29e-07	8.78e-08	1.06e-07	0	0	723.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-05-05 13:00:41	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.8	282.3		g	01.3	1.05e-05	12	1	273	6.77e-07	1.34e-07	9.64e-08	0	0	748.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-05-07 19:29:04	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.2	278.3		g	00.9	9.15e-06	13	1	273	1.68e-07	2.38e-08	7.75e-08	0	0	773.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-05-27 16:19:33	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	282.5		g	00.7	7.74e-06	14	1	273	2.76e-07	5.56e-08	6.63e-08	0	0	793.0
This study	This study	UMK_BOT	PW29.4b	PW29	PW29.4b	PW29.4b:LP-DIR-T	hargrave 2014-06-09 16:23:23	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	280.7		g	00.3	5.85e-06	15	1	273	1.46e-07	2.93e-08	5.35e-08	0	0	813.0
