tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-02-25 16:15:09	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	108.0	average of multiple measurements	g	-21.6	1.560e-06	1	2.0	273	8.05e-08	2.47e-08	1.29e-08	0	0	273
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-03-04 17:49:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	103.7		g	-21.5	1.59e-06	2	1	273	6.70e-08	1.92e-08	1.36e-08	0	0	323.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-03-11 17:01:13	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	106.5		g	-20.5	1.46e-06	3	1	273	6.01e-08	2.08e-08	1.20e-08	0	0	373.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-03-17 13:45:20	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	107.9		g	-21.3	1.34e-06	4	1	273	6.17e-08	2.10e-08	1.11e-08	0	0	423.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-03-28 13:41:45	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.6	107.8		g	-22.8	1.14e-06	5	1	273	2.93e-08	1.16e-08	9.22e-09	0	0	473.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-04-01 14:34:53	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.9	111.9		g	-31.3	5.06e-07	6	1	273	2.34e-08	1.12e-08	4.08e-09	0	0	523.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-04-07 13:45:59	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.4	249.4		g	-50.5	1.40e-07	7	1	273	5.31e-09	2.23e-09	1.62e-09	0	0	573.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-04-15 16:25:01	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.3	266.3		g	-34.4	1.60e-07	8	1	273	8.89e-09	1.42e-09	2.31e-09	0	0	623.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-04-24 11:13:06	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.2	265.6		g	-40.5	1.43e-07	9	1	273	5.40e-09	1.48e-09	1.31e-09	0	0	673.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-04-29 14:41:15	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.9	259.5		g	-44.7	1.31e-07	10	1	273	8.66e-09	1.97e-09	1.97e-09	0	0	698.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-05-01 12:41:35	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.7	262.0		g	-43.7	1.36e-07	11	1	273	1.10e-08	1.26e-09	1.98e-09	0	0	723.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-05-06 13:05:17	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.2	279.5		g	-47.7	1.25e-07	12	1	273	7.04e-09	1.18e-09	1.36e-09	0	0	748.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-05-07 10:04:00	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.9	275.3		g	-34.8	1.56e-07	13	1	273	1.06e-08	5.99e-10	1.40e-09	0	0	773.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-05-15 21:03:10	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.4	267.8		g	-23.6	1.82e-07	14	1	273	1.06e-08	2.64e-09	2.03e-09	0	0	793.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-05-30 16:35:19	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	285.8		g	-17.4	2.53e-07	15	1	273	8.98e-09	2.16e-09	2.35e-09	0	0	813.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-06-10 14:43:51	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	277.5		g	-20.2	1.59e-07	16	1	273	7.68e-09	1.07e-09	1.75e-09	0	0	823.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-06-17 14:50:48	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.0	256.2		b	-17.3	4.37e-08	17	1	273	5.25e-10	6.89e-10	6.77e-10	0	0	833.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-06-24 15:18:36	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.5	278.3		g	-06.3	1.91e-07	18	1	273	1.48e-08	1.55e-09	1.88e-09	0	0	838.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-06-30 17:35:16	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	293.0		g	-07.2	2.31e-07	19	1	273	8.34e-09	1.94e-09	1.93e-09	0	0	841.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-07-02 15:41:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	273.2		g	-02.0	1.87e-07	20	1	273	8.58e-09	8.22e-10	2.04e-09	0	0	844.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-07-07 17:37:24	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	281.9		b	-06.4	3.16e-07	21	1	273	1.15e-08	1.06e-09	3.05e-09	0	0	847.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-07-09 15:12:03	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	275.5		g	04.0	1.80e-07	22	1	273	6.40e-09	1.01e-09	1.93e-09	0	0	850.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-07-29 11:29:17	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.1	284.1		g	02.2	1.89e-07	23	1	273	9.92e-09	1.71e-09	1.91e-09	0	0	853.0
This study	This study	UMK_BOT	PW5.1b	PW5	PW5.1b	PW5.1b:LP-DIR-T	hargrave 2014-08-05 13:05:15	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.2	277.1		g	10.1	1.48e-07	24	1	273	1.06e-08	6.43e-10	1.87e-09	0	0	856.0
This study	This study	UMK_BOT	PW5.2b	PW5	PW5.2b	PW5.2b:LP-DIR-T	hargrave 2014-02-25 16:16:48	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	101.2	average of multiple measurements	g	-20.2	1.220e-06	1	2.0	273	5.88e-08	1.32e-08	1.04e-08	0	0	273
This study	This study	UMK_BOT	PW5.2b	PW5	PW5.2b	PW5.2b:LP-DIR-T	hargrave 2014-03-04 17:51:28	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.8	100.7		g	-20.2	1.23e-06	2	1	273	1.12e-08	4.75e-09	1.13e-08	0	0	323.0
This study	This study	UMK_BOT	PW5.2b	PW5	PW5.2b	PW5.2b:LP-DIR-T	hargrave 2014-03-11 17:02:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.3	100.1		g	-19.3	1.11e-06	3	1	273	6.13e-08	1.35e-08	9.64e-09	0	0	373.0
This study	This study	UMK_BOT	PW5.2b	PW5	PW5.2b	PW5.2b:LP-DIR-T	hargrave 2014-03-17 13:46:59	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.6	102.6		g	-19.5	1.05e-06	4	1	273	6.37e-08	1.53e-08	8.98e-09	0	0	423.0
