tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-02-25 17:07:48	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	44.4	average of multiple measurements	g	-29.8	4.056e-06	1	2.0	273	8.00e-08	6.99e-08	1.65e-08	0	0	273
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-03-04 18:41:52	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	051.1		g	-24.9	2.01e-06	2	1	273	4.93e-08	3.32e-08	1.88e-08	0	0	323.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-03-11 17:52:42	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	053.0		g	-24.8	1.95e-06	3	1	273	3.76e-08	3.18e-08	1.39e-08	0	0	373.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-03-17 14:37:35	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.1	053.3		g	-23.9	1.87e-06	4	1	273	2.58e-08	2.47e-08	1.47e-08	0	0	423.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-03-28 14:33:38	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.5	053.6		g	-23.3	1.79e-06	5	1	273	9.91e-09	7.44e-09	1.42e-08	0	0	473.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-04-01 18:17:30	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	056.3		g	-22.1	1.67e-06	6	1	273	4.86e-08	3.37e-08	1.39e-08	0	0	523.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-04-09 11:51:14	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	056.1		g	-21.3	1.57e-06	7	1	273	5.33e-08	4.22e-08	1.39e-08	0	0	573.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-04-18 14:12:57	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.6	057.9		g	-20.1	1.46e-06	8	1	273	5.52e-08	3.57e-08	1.34e-08	0	0	623.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-04-25 13:38:38	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.9	059.7		g	-19.1	1.35e-06	9	1	273	3.65e-08	2.74e-08	1.17e-08	0	0	673.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-04-29 18:58:00	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	059.5		g	-18.4	1.28e-06	10	1	273	2.73e-08	1.78e-08	1.12e-08	0	0	698.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-05-02 12:24:47	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	060.8		g	-18.2	1.22e-06	11	1	273	4.98e-08	3.24e-08	1.01e-08	0	0	723.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-05-05 12:27:59	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.9	061.1		g	-17.6	1.14e-06	12	1	273	1.36e-08	8.34e-09	9.24e-09	0	0	748.0
This study	This study	UMK_BOT	PW11.1b	PW11	PW11.1b	PW11.1b:LP-DIR-T	hargrave 2014-05-07 10:55:32	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.6	063.8		g	-16.6	1.06e-06	13	1	273	5.78e-08	3.32e-08	8.29e-09	0	0	773.0
