tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	sample_azimuth
This study	JP1-1	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.1	6.0	SO-NO	0
This study	JP1-2	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP1-3	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.1	6.0	SO-NO	0
This study	JP1-4	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP1-5	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP1-6	JP1	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.3	6.0	SO-NO	0
This study	JP11-1	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP11-2	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP11-3	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP11-4	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP11-5	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP11-6	JP11	Botswana	intrusive	Dolerite	sill	-24.9	25.3	0	258.0	5.0	SO-NO	0
This study	JP12-1	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-10	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-2	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-3	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-4	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-5	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-6	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-7	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-8	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP12-9	JP12	Botswana	intrusive	Dolerite	sill	-25.1	25.3	0	0.0	0.0	SO-NO	0
This study	JP15-1	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-10	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-2	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-3	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-4	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-5	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-6	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-7	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-8	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP15-9	JP15	Botswana	intrusive	Dolerite	sill	-24.3	25.5	0	0.0	0.0	SO-NO	0
This study	JP16-1	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-10	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-2	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-3	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-4	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-5	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-6	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	141.6	11.0	SO-NO	0
This study	JP16-7	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-8	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.0	11.0	SO-NO	0
This study	JP16-9	JP16	Botswana	intrusive	Dolerite	sill	-24.4	25.5	0	142.1	11.0	SO-NO	0
This study	JP18-1	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-10	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-2	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-3	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-4	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-5	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-6	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-7	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	224.9	17.0	SO-NO	0
This study	JP18-8	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP18-9	JP18	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	224.9	17.0	SO-NO	0
This study	JP19-1	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP19-2	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP19-3	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP19-4	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP19-5	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP19-6	JP19	Botswana	intrusive	Dolerite	sill	-24.2	25.6	0	225.0	17.0	SO-NO	0
This study	JP2-1	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP2-2	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP2-3	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.1	6.0	SO-NO	0
This study	JP2-4	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP2-5	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP2-6	JP2	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP20-1	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	254.9	3.0	SO-NO	0
This study	JP20-10	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.0	3.0	SO-NO	0
This study	JP20-2	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.1	3.0	SO-NO	0
This study	JP20-3	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	254.9	3.0	SO-NO	0
This study	JP20-4	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	254.9	3.0	SO-NO	0
This study	JP20-5	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.0	3.0	SO-NO	0
This study	JP20-6	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.0	3.0	SO-NO	0
This study	JP20-7	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.0	3.0	SO-NO	0
This study	JP20-8	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	255.1	3.0	SO-NO	0
This study	JP20-9	JP20	Botswana	intrusive	Dolerite	sill	-24.3	25.7	0	254.9	3.0	SO-NO	0
This study	JP21-1	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	209.9	3.0	SO-NO	0
This study	JP21-10	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.0	3.0	SO-NO	0
This study	JP21-2	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.0	3.0	SO-NO	0
This study	JP21-3	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.0	3.0	SO-NO	0
This study	JP21-4	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.0	3.0	SO-NO	0
This study	JP21-5	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	209.9	3.0	SO-NO	0
This study	JP21-6	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.1	3.0	SO-NO	0
This study	JP21-7	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.1	3.0	SO-NO	0
This study	JP21-8	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.0	3.0	SO-NO	0
This study	JP21-9	JP21	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	210.2	3.0	SO-NO	0
This study	JP22-1	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.0	7.0	SO-NO	0
This study	JP22-2	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.1	7.0	SO-NO	0
This study	JP22-3	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.1	7.0	SO-NO	0
This study	JP22-4	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.0	7.0	SO-NO	0
This study	JP22-5	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.2	7.0	SO-NO	0
This study	JP22-6	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.0	7.0	SO-NO	0
This study	JP22-7	JP22	Botswana	intrusive	Dolerite	sill	-24.3	25.8	0	120.0	7.0	SO-NO	0
This study	JP23-1	JP23	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	120.0	7.0	SO-NO	0
This study	JP23-2	JP23	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	120.0	7.0	SO-NO	0
This study	JP23-3	JP23	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	120.0	7.0	SO-NO	0
This study	JP23-4	JP23	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	120.0	7.0	SO-NO	0
This study	JP23-5	JP23	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	120.0	7.0	SO-NO	0
This study	JP24-1	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.0	7.0	SO-NO	0
This study	JP24-2	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	236.9	7.0	SO-NO	0
This study	JP24-3	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.0	7.0	SO-NO	0
This study	JP24-4	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.2	7.0	SO-NO	0
This study	JP24-5	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.0	7.0	SO-NO	0
This study	JP24-6	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.0	7.0	SO-NO	0
This study	JP26-1	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-2	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-3	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.1	15.0	SO-NO	0
This study	JP26-4	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
