tab	er_sites
er_citation_names	er_site_name	er_location_name	site_class	site_lithology	site_type	site_definition	site_lon	site_lat
This study	JP1	Botswana	intrusive	Dolerite	sill	s	25.9	-24.7
This study	JP11	Botswana	intrusive	Dolerite	sill	s	25.3	-24.9
This study	JP12	Botswana	intrusive	Dolerite	sill	s	25.3	-25.1
This study	JP15	Botswana	intrusive	Dolerite	sill	s	25.5	-24.3
This study	JP16	Botswana	intrusive	Dolerite	sill	s	25.5	-24.4
This study	JP18	Botswana	intrusive	Dolerite	sill	s	25.6	-24.2
This study	JP19	Botswana	intrusive	Dolerite	sill	s	25.6	-24.2
This study	JP2	Botswana	intrusive	Dolerite	sill	s	25.9	-24.7
This study	JP20	Botswana	intrusive	Dolerite	sill	s	25.7	-24.3
This study	JP21	Botswana	intrusive	Dolerite	sill	s	25.8	-24.3
This study	JP22	Botswana	intrusive	Dolerite	sill	s	25.8	-24.3
This study	JP23	Botswana	intrusive	Dolerite	sill	s	26.4	-22.9
This study	JP24	Botswana	intrusive	Dolerite	sill	s	26.4	-22.9
This study	JP26	Botswana	intrusive	Dolerite	sill	s	26.7	-23.1
This study	JP27	Botswana	intrusive	Dolerite	sill	s	26.7	-22.7
This study	JP29	Botswana	intrusive	Dolerite	sill	s	26.6	-22.7
This study	JP3	Botswana	intrusive	Dolerite	sill	s	25.9	-24.7
This study	JP30	Botswana	intrusive	Dolerite	sill	s	26.6	-22.7
This study	JP31	Botswana	intrusive	Dolerite	sill	s	26.5	-23
This study	JP33	Botswana	intrusive	Dolerite	sill	s	26.4	-22.9
This study	JP34	Botswana	intrusive	Dolerite	sill	s	26.5	-23
This study	JP4	Botswana	intrusive	Dolerite	sill	s	25.7	-24.8
This study	JP5B	Botswana	intrusive	Dolerite	sill	s	25.7	-24.7
This study	JP6	Botswana	intrusive	Dolerite	sill	s	25.6	-24.7
This study	JP8	Botswana	intrusive	Dolerite	sill	s	25.3	-25
This study	JP9	Botswana	intrusive	Dolerite	sill	s	25.2	-24.9
