tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	102.56	g	-13.28	5.808e-04	0	u	273.		273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	104.65	g	-11.07	6.117e-04	1	u	273.		473.0
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	106.77	g	-11.18	5.614e-04	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	104.81	g	-11.82	5.618e-04	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	103.2	g	-7.17	5.371e-04	4	u	273.	0.0100	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	105.59	g	-1.61	2.841e-04	5	u	273.	0.0200	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	99.85	g	-0.17	2.313e-04	6	u	273.	0.0300	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	124.76	g	10.61	5.752e-05	7	u	273.	0.0400	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	156.27	g	19.96	2.161e-05	8	u	273.	0.0600	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	209.97	g	37.79	8.906e-06	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	286.83	g	20.45	1.170e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	314.98	g	20.05	3.101e-04	0	u	273.		273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	340.92	g	-10.21	6.018e-04	1	u	273.		473.0
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	332.21	g	-9.81	5.344e-04	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	339.66	g	-9.38	5.276e-04	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	342.44	g	-8.33	5.055e-04	4	u	273.	0.0100	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	331.18	g	-5.65	2.703e-04	5	u	273.	0.0200	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	341.06	g	-0.23	1.083e-04	6	u	273.	0.0300	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	359.04	g	5.31	5.480e-05	7	u	273.	0.0400	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	3.1	g	5.86	2.540e-05	8	u	273.	0.0600	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	106.99	g	72.83	4.492e-07	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	298.78	g	3.29	1.657e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	15.6	g	37.36	1.485e-04	0	u	273.		273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	24.73	g	-11.55	2.099e-04	1	u	273.		473.0
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	22.26	g	-8.68	1.963e-04	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	27.03	g	-7.73	2.076e-04	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	18.85	g	-5	1.967e-04	4	u	273.	0.0100	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	18.86	g	-5.39	1.359e-04	5	u	273.	0.0200	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	17.9	g	2.39	3.816e-05	6	u	273.	0.0300	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	11.52	g	3.64	3.513e-05	7	u	273.	0.0400	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	12.33	g	4.99	2.171e-05	8	u	273.	0.0600	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	8.55	g	8.04	1.150e-05	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	5.08	g	9.11	1.129e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	336.46	g	-5.96	6.237e-04	0	u	273.		273.
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	337.01	g	-4.45	6.851e-04	1	u	273.		473.0
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	332.87	g	-3.87	6.379e-04	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	339.71	g	-3.9	6.373e-04	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	336.56	g	-1.87	6.329e-04	4	u	273.	0.0100	273.
