tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	Timbavati	TG01-1	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-10	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-11	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-12	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-13	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-14	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-15	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-16	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-17	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-18	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-19	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-2	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-20	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-21	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-22	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-23	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-3	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-4	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-5	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-6	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-7	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-8	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG01-9	TG01		0	0.0	0.0		0	-25.35		31.81	
This study	Timbavati	TG02-1	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-10	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-11	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-12	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-2	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-3	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-4	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-5	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-6	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-7	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-8	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG02-9	TG02		0	0.0	0.0		0	-25.35		31.79	
This study	Timbavati	TG03-1	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-10	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-11	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-12	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-2	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-3	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-4	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-5	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-6	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-7	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-8	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG03-9	TG03		0	0.0	0.0		0	-25.04		31.23	
This study	Timbavati	TG04-1	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-10	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-11	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-12	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-2	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-3	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-4	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-5	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-6	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-7	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-8	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG04-9	TG04		0	0.0	0.0		0	-24.94		31.3	
This study	Timbavati	TG05-1	TG05		0	0.0	0.0		0	-24.55		31.35	
This study	Timbavati	TG05-10	TG05		0	0.0	0.0		0	-24.55		31.35	
This study	Timbavati	TG05-11	TG05		0	0.0	0.0		0	-24.55		31.35	
This study	Timbavati	TG05-12	TG05		0	0.0	0.0		0	-24.55		31.35	
