tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name
This study	Timbavati	TG01-1	TG01	TG01-1
This study	Timbavati	TG01-10	TG01	TG01-10
This study	Timbavati	TG01-11	TG01	TG01-11
This study	Timbavati	TG01-12	TG01	TG01-12
This study	Timbavati	TG01-13	TG01	TG01-13
This study	Timbavati	TG01-14	TG01	TG01-14
This study	Timbavati	TG01-15	TG01	TG01-15
This study	Timbavati	TG01-16	TG01	TG01-16
This study	Timbavati	TG01-17	TG01	TG01-17
This study	Timbavati	TG01-18	TG01	TG01-18
This study	Timbavati	TG01-19	TG01	TG01-19
This study	Timbavati	TG01-2	TG01	TG01-2
This study	Timbavati	TG01-20	TG01	TG01-20
This study	Timbavati	TG01-21	TG01	TG01-21
This study	Timbavati	TG01-22	TG01	TG01-22
This study	Timbavati	TG01-23	TG01	TG01-23
This study	Timbavati	TG01-3	TG01	TG01-3
This study	Timbavati	TG01-4	TG01	TG01-4
This study	Timbavati	TG01-5	TG01	TG01-5
This study	Timbavati	TG01-6	TG01	TG01-6
This study	Timbavati	TG01-7	TG01	TG01-7
This study	Timbavati	TG01-8	TG01	TG01-8
This study	Timbavati	TG01-9	TG01	TG01-9
This study	Timbavati	TG02-1	TG02	TG02-1
This study	Timbavati	TG02-10	TG02	TG02-10
This study	Timbavati	TG02-11	TG02	TG02-11
This study	Timbavati	TG02-12	TG02	TG02-12
This study	Timbavati	TG02-2	TG02	TG02-2
This study	Timbavati	TG02-3	TG02	TG02-3
This study	Timbavati	TG02-4	TG02	TG02-4
This study	Timbavati	TG02-5	TG02	TG02-5
This study	Timbavati	TG02-6	TG02	TG02-6
This study	Timbavati	TG02-7	TG02	TG02-7
This study	Timbavati	TG02-8	TG02	TG02-8
This study	Timbavati	TG02-9	TG02	TG02-9
This study	Timbavati	TG03-1	TG03	TG03-1
This study	Timbavati	TG03-10	TG03	TG03-10
This study	Timbavati	TG03-11	TG03	TG03-11
This study	Timbavati	TG03-12	TG03	TG03-12
This study	Timbavati	TG03-2	TG03	TG03-2
This study	Timbavati	TG03-3	TG03	TG03-3
This study	Timbavati	TG03-4	TG03	TG03-4
This study	Timbavati	TG03-5	TG03	TG03-5
This study	Timbavati	TG03-6	TG03	TG03-6
This study	Timbavati	TG03-7	TG03	TG03-7
This study	Timbavati	TG03-8	TG03	TG03-8
This study	Timbavati	TG03-9	TG03	TG03-9
This study	Timbavati	TG04-1	TG04	TG04-1
This study	Timbavati	TG04-10	TG04	TG04-10
This study	Timbavati	TG04-11	TG04	TG04-11
This study	Timbavati	TG04-12	TG04	TG04-12
This study	Timbavati	TG04-2	TG04	TG04-2
This study	Timbavati	TG04-3	TG04	TG04-3
This study	Timbavati	TG04-4	TG04	TG04-4
This study	Timbavati	TG04-5	TG04	TG04-5
This study	Timbavati	TG04-6	TG04	TG04-6
This study	Timbavati	TG04-7	TG04	TG04-7
This study	Timbavati	TG04-8	TG04	TG04-8
This study	Timbavati	TG04-9	TG04	TG04-9
This study	Timbavati	TG05-1	TG05	TG05-1
This study	Timbavati	TG05-10	TG05	TG05-10
This study	Timbavati	TG05-11	TG05	TG05-11
This study	Timbavati	TG05-12	TG05	TG05-12
This study	Timbavati	TG05-13	TG05	TG05-13
This study	Timbavati	TG05-14	TG05	TG05-14
This study	Timbavati	TG05-15	TG05	TG05-15
This study	Timbavati	TG05-2	TG05	TG05-2
This study	Timbavati	TG05-3	TG05	TG05-3
This study	Timbavati	TG05-4	TG05	TG05-4
This study	Timbavati	TG05-5	TG05	TG05-5
This study	Timbavati	TG05-6	TG05	TG05-6
This study	Timbavati	TG05-7	TG05	TG05-7
This study	Timbavati	TG05-8	TG05	TG05-8
This study	Timbavati	TG05-9	TG05	TG05-9
This study	Timbavati	TG06-1	TG06	TG06-1
This study	Timbavati	TG06-10	TG06	TG06-10
This study	Timbavati	TG06-11	TG06	TG06-11
This study	Timbavati	TG06-12	TG06	TG06-12
This study	Timbavati	TG06-2	TG06	TG06-2
