tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	294.71	g	-65.52	1.008e-05	0	u	273.		
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	283.24	g	-71.24	8.948e-06	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	274.63	g	-72.76	8.824e-06	2	u	273.		423.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	272.61	g	-72.02	8.680e-06	3	u	273.		473.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	271.27	g	-72.11	8.494e-06	4	u	273.		523.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	267.85	g	-71.67	8.370e-06	5	u	273.		573.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	264.16	g	-71.1	7.958e-06	6	u	273.		623.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	260.77	g	-73.13	7.484e-06	7	u	273.		673.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	254.31	g	-71.55	7.113e-06	8	u	273.		723.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	252.54	g	-72.84	6.804e-06	9	u	273.		773.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	221.8	g	-61.91	4.350e-06	10	u	273.		823.0
TMK	This study	Timbavati	TG01-22	TG01	TG01-22	TG01-22:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	194.14	g	-14.72	8.906e-07	11	u	273.		848.0
TMK	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LT-NO:LP-DIR-AF:LP-DIR-T	204.04	g	-5.95	1.612e-05	0	u	273.		
TMK	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LT-AF-Z:LP-DIR-AF:LP-DIR-T	199.94	g	-2.35	1.730e-05	1	u	273.	0.0100	
TMK	This study	Timbavati	TG01-23	TG01	TG01-23	TG01-23:LP-DIR-AF:LP-DIR-T		LT-T-Z:LP-DIR-AF:LP-DIR-T	199.44	g	-1.63	1.730e-05	2	u	273.		423.0
