tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG01-1	TG01	TG01-1	TG01-1:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	1.000e-02	T		u	0.0	192.8	l	3.2	1.8	11	-1
	This study	Timbavati	TG01-1	TG01	TG01-1	TG01-1:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	1.000e-02	T		u	0.0	192.8	l	3.2	1.8	11	0
	This study	Timbavati	TG01-1	TG01	TG01-1	TG01-1:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	1.000e-02	T		u	0.0	192.8	l	3.2	1.8	11	100
	This study	Timbavati	TG01-10	TG01	TG01-10	TG01-10:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	323.0	l	-68.4	0.5	3	-1
	This study	Timbavati	TG01-10	TG01	TG01-10	TG01-10:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	323.0	l	-68.4	0.5	3	0
	This study	Timbavati	TG01-10	TG01	TG01-10	TG01-10:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	323.0	l	-68.4	0.5	3	100
	This study	Timbavati	TG01-11	TG01	TG01-11	TG01-11:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	324.6	l	-69.1	0.5	3	-1
	This study	Timbavati	TG01-11	TG01	TG01-11	TG01-11:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	324.6	l	-69.1	0.5	3	0
	This study	Timbavati	TG01-11	TG01	TG01-11	TG01-11:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	324.6	l	-69.1	0.5	3	100
	This study	Timbavati	TG01-12	TG01	TG01-12	TG01-12:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	320.8	l	-65.4	0.3	3	-1
