tab	er_ages					
er_site_name	er_location_name	magic_method_codes	age	age_sigma	age_unit	er_citation_names
Kgale Peak Sill	Botswana	GM-PBPB	1108	0.9	Ma	10.1126/science.1096329:This study
Rasemong Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Metsemotlhaba River Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mabogoapitse Hill Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Semarule Hill Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Rapitsane Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Suping Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mogatelwane 2 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mosolotsane 1 Sill	Botswana	GM-PBPB	1109.3	0.6	Ma	10.1126/science.1096329:This study
Mosolotsane 5 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mosolotsane 4 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mosolotsane 6 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mosolotsane 3 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mosolotsane 2 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Shoshong Sill	Botswana	GM-PBPB	1109.3	0.4	Ma	10.1126/science.1096329:This study
Phage Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Moijabana Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Mokgware Sill	Botswana	GM-PBPB	1112	0.5	Ma	10.1126/science.1096329:This study
Sepatamorire Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Palapye dike	Botswana	GM-CC-REL	1110	3	Ma	This study
Masama 1 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Masama 3 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Masama 2 Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
Dibete Kop Sill	Botswana	GM-CC-REL	1110	3	Ma	This study
