tab	er_samples													
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_bed_dip_direction	er_expedition_name	sample_description	sample_bed_dip	sample_dip	sample_azimuth
This study	PW1-1	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-19	134.4
This study	PW1-10	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-37	204.6
This study	PW1-11	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-55	173.9
This study	PW1-12	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-44	172.8
This study	PW1-13	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-72	202.5
This study	PW1-14	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-60	235.3
This study	PW1-2	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-17	129
This study	PW1-3	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-41	196.5
This study	PW1-4	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-37	196.3
This study	PW1-5	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-33	163
This study	PW1-6	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-35	162.5
This study	PW1-7	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-28	197.1
This study	PW1-8	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-33	190.8
This study	PW1-9	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	-24.6878	25.8622	224.6	Botswana 2012	pmag core	6	-34	206.9
This study	PW10-1	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-19	235.6
This study	PW10-10	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-20	18.5
This study	PW10-11	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-11	240.8
This study	PW10-12	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-11	242
This study	PW10-13	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-16	217.3
This study	PW10-2	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-17	239.8
This study	PW10-3	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	-24.4297	25.5846	330.03	Botswana 2012	pmag core	7	-27	210.3
