tab	er_sites									
er_citation_names	er_site_name	er_location_name	site_class	site_lithology	site_type	site_definition	site_description	site_lon	site_lat	er_expedition_name
This study	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW1,PW2"	25.8622	-24.6878	Botswana 2012
This study	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	s	PW10	25.5846	-24.4297	Botswana 2012
This study	Suping Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW11,PW12"	25.5322	-24.3277	Botswana 2012
This study	Gajong Donut Sill	Botswana	Intrusive	Dolerite	Sill	s	PW13	25.6507	-24.2558	Botswana 2012
This study	Mogatelwane 1 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW14	25.6896	-24.1807	Botswana 2012
This study	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW15,PW16,PW17"	25.6919	-24.1804	Botswana 2012
This study	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW18,PW19"	25.4688	-24.3762	Botswana 2012
This study	Lentsweletau Sill	Botswana	Intrusive	Dolerite	Sill	s	PW20	25.8522	-24.2405	Botswana 2012
This study	Mosolotsane 1 Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW21,PW22"	26.3894	-22.9074	Botswana 2012
This study	Mosolotsane 5 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW23	26.371	-22.9034	Botswana 2012
This study	Mosolotsane 4 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW24	26.3741	-22.8947	Botswana 2012
This study	Mosolotsane 6 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW25	26.3673	-22.8955	Botswana 2012
This study	Mosolotsane 3 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW26	26.3811	-22.8926	Botswana 2012
This study	Mosolotsane 2 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW27	26.382	-22.8923	Botswana 2012
This study	Shoshong Sill	Botswana	Intrusive	Dolerite	Sill	s	PW28	26.4838	-23.0052	Botswana 2012
This study	Phage Sill	Botswana	Intrusive	Dolerite	Sill	s	PW29	26.3937	-22.7794	Botswana 2012
This study	Manyana Sill	Botswana	Intrusive	Dolerite	Sill	s	PW3	25.6557	-24.7489	Botswana 2012
This study	Moijabana Sill	Botswana	Intrusive	Dolerite	Sill	s	PW30	26.4426	-22.6421	Botswana 2012
This study	Mokgware Sill	Botswana	Intrusive	Dolerite	Sill	s	PW31	26.6114	-22.7069	Botswana 2012
This study	Sepatamorire Hill Sill	Botswana	Intrusive	Dolerite	Sill	s	PW32	26.8228	-22.3354	Botswana 2012
This study	Palapye Dike	Botswana	Intrusive	Dolerite	Diabase	s	PW33	27.2874	-22.5777	Botswana 2012
This study	Masama 1 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW34	26.7377	-23.8163	Botswana 2012
This study	Masama 3 Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW35,PW37"	26.7354	-23.814	Botswana 2012
This study	Masama 2 Sill	Botswana	Intrusive	Dolerite	Sill	s	PW36	26.735	-23.8145	Botswana 2012
This study	Dibete Kop Sill	Botswana	Intrusive	Dolerite	Sill	s	PW38	26.5631	-23.7817	Botswana 2012
This study	Marseilles Hill Sill	Botswana	Intrusive	Dolerite	Sill	s	PW39	26.9102	-23.9612	Botswana 2012
This study	Ranku Hill Sill	Botswana	Intrusive	Dolerite	Sill	s	PW4	25.774	-24.6906	Botswana 2012
This study	Sepitswane Sill	Botswana	Intrusive	Dolerite	Sill	s	PW40	26.8914	-24.0481	Botswana 2012
This study	Rasemong North Intrusion	Botswana	Intrusive	Dolerite	Sill	s	PW5	25.7759	-24.7271	Botswana 2012
This study	Metsemotlhaba River Sill	Botswana	Intrusive	Dolerite	Sill	s	PW6	25.8102	-24.5469	Botswana 2012
This study	Mabogoapitse Hill Sill	Botswana	Intrusive	Dolerite	Sill	s	"PW7,PW8"	25.5971	-24.4767	Botswana 2012
This study	Semarule Hill Sill	Botswana	Intrusive	Dolerite	Sill	s	PW9	25.5742	-24.4527	Botswana 2012
