tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW1-10a	PW1-10	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0047156	Botswana 2012
This study	PW1-1a	PW1-1	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.004356	Botswana 2012
This study	PW1-2a	PW1-2	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0049525	Botswana 2012
This study	PW1-3a	PW1-3	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0046656	Botswana 2012
This study	PW1-4a	PW1-4	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0051215	Botswana 2012
This study	PW1-6a	PW1-6	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0051866	Botswana 2012
This study	PW1-7a	PW1-7	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0053734	Botswana 2012
This study	PW1-8a	PW1-8	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill	0.0053389	Botswana 2012
This study	PW1-1b	PW1-1	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW1-2b	PW1-2	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW1-3b	PW1-3	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW1-4b	PW1-4	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW1-6b	PW1-6	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW1-7b	PW1-7	Kgale Peak Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-1a	PW10-1	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0059513	Botswana 2012
This study	PW10-2a	PW10-2	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0054538	Botswana 2012
This study	PW10-3a	PW10-3	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0059379	Botswana 2012
This study	PW10-4a	PW10-4	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0053186	Botswana 2012
This study	PW10-5a	PW10-5	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0053432	Botswana 2012
This study	PW10-6a	PW10-6	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0056237	Botswana 2012
This study	PW10-7a	PW10-7	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0054054	Botswana 2012
This study	PW10-8a	PW10-8	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill	0.0051372	Botswana 2012
This study	PW10-1b	PW10-1	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-2b	PW10-2	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-3b	PW10-3	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-4b	PW10-4	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-5b	PW10-5	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW10-6b	PW10-6	Rapitsane Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-1a	PW11-1	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0054561	Botswana 2012
This study	PW11-2a	PW11-2	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0057877	Botswana 2012
This study	PW11-3a	PW11-3	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0059258	Botswana 2012
This study	PW11-4a	PW11-4	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.004718	Botswana 2012
This study	PW11-5a	PW11-5	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0049213	Botswana 2012
This study	PW11-6a	PW11-6	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0046097	Botswana 2012
This study	PW11-7a	PW11-7	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0057989	Botswana 2012
This study	PW11-8a	PW11-8	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0051858	Botswana 2012
This study	PW11-1b	PW11-1	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-2b	PW11-2	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-3b	PW11-3	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-4b	PW11-4	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-5b	PW11-5	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW11-6b	PW11-6	Suping Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW12-10a	PW12-10	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0053827	Botswana 2012
This study	PW12-11a	PW12-11	Suping Sill	Botswana	Intrusive	Dolerite	Sill	0.0049292	Botswana 2012
