tab	pmag_results								
pmag_result_name	er_location_names	er_site_names	data_type	magic_method_codes	er_citation_names	vgp_lat	vgp_lon	vgp_n	tilt_correction
Kgale Peak Sill VGP	Botswana	Kgale Peak Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-63.70433572	228.6982603	12	100
Rasemong Sill VGP	Botswana	Rasemong Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	69.55167813	70.36123219	8	0
Metsemotlhaba River Sill VGP	Botswana	Metsemotlhaba River Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-64.09576998	207.1820566	7	0
Mabogoapitse Hill Sill VGP	Botswana	Mabogoapitse Hill Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-67.63580593	217.7526357	9	0
Semarule Hill Sill VGP	Botswana	Semarule Hill Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-66.51167319	222.8464984	5	0
Rapitsane Sill VGP	Botswana	Rapitsane Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-60.07913325	243.1397142	8	100
Suping Sill VGP	Botswana	Suping Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-60.2059977	220.0935478	16	100
Mogatelwane 2 Sill VGP	Botswana	Mogatelwane 2 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-61.25581206	234.7233454	6	100
Mosolotsane 1 Sill VGP	Botswana	Mosolotsane 1 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-63.60674256	220.2027452	27	100
Mosolotsane 5 Sill VGP	Botswana	Mosolotsane 5 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-61.87525023	224.5987376	7	100
Mosolotsane 4 Sill VGP	Botswana	Mosolotsane 4 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-65.32917291	218.9118025	8	100
Mosolotsane 6 Sill VGP	Botswana	Mosolotsane 6 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-69.9176761	240.6037355	5	100
Mosolotsane 3 Sill VGP	Botswana	Mosolotsane 3 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-64.78419431	229.9288925	4	100
Mosolotsane 2 Sill VGP	Botswana	Mosolotsane 2 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-66.89644337	226.0760675	8	100
Shoshong Sill VGP	Botswana	Shoshong Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-61.94958376	231.5389752	33	0
Phage Sill VGP	Botswana	Phage Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-63.11172599	238.7317953	8	100
Moijabana Sill VGP	Botswana	Moijabana Sill	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-60.83345074	225.944363	5	0
Mokgware Sill VGP	Botswana	Mokgware Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-62.19806197	250.8490293	13	100
Sepatamorire Sill VGP	Botswana	Sepatamorire Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-64.42296653	241.1720701	8	0
Palapye dike VGP	Botswana	Palapye dike	i	LT-NO:LT-LT-Z:LT-AF-Z	This study	-73.2970832	184.6495194	7	100
Masama 1 Sill VGP	Botswana	Masama 1 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-57.91672992	188.7696198	8	100
Masama 3 Sill VGP	Botswana	Masama 3 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-64.46583609	226.7890496	13	100
Masama 2 Sill VGP	Botswana	Masama 2 Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-67.72062659	215.1979711	8	100
Dibete Kop Sill VGP	Botswana	Dibete Kop Sill	i	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-62.76450224	239.4780889	7	0
Umkondo Grand Mean Pole	Botswana	Kgale Peak Sill:Rasemong Sill:Metsemotlhaba River Sill:Mabogoapitse Hill Sill:Semarule Hill Sill:Rapitsane Sill:Suping Sill:Mogatelwane 2 Sill:Mosolotsane 1 Sill:Mosolotsane 5 Sill:Mosolotsane 4 Sill:Mosolotsane 6 Sill:Mosolotsane 3 Sill:Mosolotsane 2 Sill:Shoshong Sill:Phage Sill:Moijabana Sill:Mokgware Sill:Sepatamorire Sill:Palapye dike:Masama 1 Sill:Masama 3 Sill:Masama 2 Sill:Dibete Kop Sill:Gose et al. [2006]	a	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	This study	-63.94	222.26	50	100
