tab	pmag_sites									
er_location_name	er_site_name	magic_method_codes	magic_instrument_codes	er_citation_names	site_dec	site_inc	site_alpha95	site_n	site_k	site_tilt_correction
Botswana	Kgale Peak Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	189.7285585	5.329219707	6.3	12	48.8	0
Botswana	Kgale Peak Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	189.9	0.4	6.3	12	48.8	100
Botswana	Rasemong Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	14.4	-18.6	8.1	8	48	0
Botswana	Rasemong Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	14.4	-18.6	8.1	8	48	100
Botswana	Metsemotlhaba River Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	180.6	-2.7	14.4	7	18.5	0
Botswana	Metsemotlhaba River Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	180.6	-2.7	14.4	7	18.5	100
Botswana	Mabogoapitse Hill Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	184.6	5.1	9.1	9	33.2	0
Botswana	Mabogoapitse Hill Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	184.6	5.1	9.1	9	33.2	100
Botswana	Semarule Hill Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	186.8	3.8	9.1	5	72.2	0
Botswana	Semarule Hill Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	186.8	3.8	9.1	5	72.2	100
Botswana	Rapitsane Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	197.9314636	-4.903841576	8.5	8	43.3	0
Botswana	Rapitsane Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	197.7	-0.2	8.5	8	43.3	100
Botswana	Suping Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	188.8710115	-9.753487821	8.4	16	20.2	0
Botswana	Suping Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	187.2	-9.2	8.4	16	20.2	100
Botswana	Mogatelwane 2 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	193.6290058	-1.21955157	14.7	6	21.6	0
Botswana	Mogatelwane 2 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	193.5	-2.8	14.7	6	21.6	100
Botswana	Mosolotsane 1 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	186.8538692	-3.246794465	4.6	27	36.9	0
Botswana	Mosolotsane 1 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	186.1	-5.6	4.6	27	36.9	100
Botswana	Mosolotsane 5 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	189.5982199	-5.111959516	14.2	7	19.1	0
Botswana	Mosolotsane 5 Sill	LT-NO:LT-LT-Z:LT-AF-Z:LP-DIR-T	UC-Hargraves	This study	188.5	-7.9	14.2	7	19.1	100
Botswana	Mosolotsane 4 Sill	LT-NO:LT-LT-Z:LT-AF-Z	UC-Hargraves	This study	185.4430223	-0.343752733	7.9	8	50.3	0
