tab 	pmag_specimens																				
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	3.6	349.8	l	44.5	6.3	8	-1
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	3.6	197.3	l	7.9	6.3	8	0
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	3.6	197.6	l	2.6	6.3	8	100
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	19.7	61.1	l	7.4	7.4	5	-1
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	19.7	194.7	l	-1.9	7.4	5	0
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	19.7	194.5	l	-7.1	7.4	5	100
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	12.4	80.4	l	11.2	9.4	5	-1
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	12.4	206.6	l	7.9	9.4	5	0
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	12.4	206.8	l	2.2	9.4	5	100
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	7.00E-02	3.00E-02	T		u	11	4.8	l	41.5	5.8	5	-1
