ID,Altitude,N//n,Dec,Inc,k,a95,,,
LL24,1275,9//7,191.4,-8.8,88,6.5,,,
LL23,1330,10//6,199.4,34.4,149,5.5,,,
LL22,1360,7//7,193.6,37.9,197,4.3,,,
LL21A,1395,7//7,350.1,-20,188,5.6,,,
LL21B,1390,3//3,168.1,4.5,1000,2.7,,,
LL20,1500,7//5,191.1,-38.6,91,8.1,,,
LL19,1580,7//6,187.2,-22.5,79,7.6,,,
LL18,1645,10//7,154,-8.7,12,18.1,,,
LL17,1690,8//7,190.4,-9.2,153,4.9,,,
LL16,1725,10//8,184.4,25.7,291,3.3,,,
LL15,1760,9//9,203.7,33.1,32,9.3,,,
LL14,1790,7//6,173.5,-21.7,95,6.9,,,
LL54,1835,11//11,182.1,10.4,97,4.6,,,
LL25,1845,9//5,75.1,46.3,48,11.2,,,
LL55,1865,9//9,192.6,5.2,18,12.4,,,
LL56,1885,9//9,2.6,4.7,83,5.7,,,
LL13,1900,7//5,349.8,-7.4,268,4.7,,,
LL12,1960,9//6,8.9,-19.2,41,10.6,,,
LL57,2015,5//4,9,19.9,564,3.9,,,
LL11,2030,10//8,343.8,40.2,102,5.5,,,
LL58,2080,14//14,28,-30.8,39,6.4,,,
LL09,2110,5//4,359.6,3.7,203,6.9,,,
LL61 a,2120,5//5,342.5,-19.7,54,10.5,,,
LL60,2185,8//8,10.2,22.3,58,7.3,,,
LL59,2235,6//6,356.8,-8,131,5.9,,,
LL10,2330,8//5,188.9,8,219,5.2,,,
LL62,2360,5//4,190.4,7.9,127,8.2,,,
LL08,2462,9//7,175.6,-18.6,382,3.1,,,
LL07,2500,11//6,188.1,19.1,278,4,,,
LL06,2510,12//6,176.6,-33.2,284,4,,,
LL05,2555,9//8,218.5,41.2,214,3.8,,,
LL04,2615,9//7,172.5,0,507,2.7,,,
LL03,2660,10//8,176.1,0.6,71,6.6,,,
LL63,2710,11//9,204.5,-31.8,57,6.9,,,
LL02,2790,10//7,178.8,16.8,57,8.1,,,
LL01,2885,9//8,171.1,21.5,84,6.1,,,
LL30,2900,7//5,175,21.6,253,4.8,,,
LL29,3015,8//5,182.1,20,72,9.1,,,
LL26,3060,10//9,179.2,-15.5,222,3.5,,,
LL27,3115,9//7,176.2,-12.3,456,2.8,,,
LL28,3165,9//6,173.2,-6,455,3.1,,,
LL64,3225,5//5,207.3,3.7,114,7.2,,,
WT49,1770,20//20,324.7,-0.2,53,4.5,,,
WT53,1870,8//8,357.5,0.7,84,6.1,,,
WT52,1970,7//5,6.2,6.9,191,4.9,,,
WT51,2090,11//11,346.9,13.8,3.9,26.4,,,
WT50,2190,11//11,7.2,18.1,53,4.5,,,
WT47,2235,9//9,358.9,-14.7,206,3.6,,,
WT48,2350,13//13,169,-14.2,344,2.2,,,
WT46,2410,15//13,186.7,-20.1,66,5.1,,,
WT40,2430,9//8,183.7,-27.2,185,4.1,,,
WT45,2500,11//10,188.8,-7.6,59,6.4,,,
WT39,2535,10//8,180.5,-6.1,255,3.5,,,
WT31,2600,15//15,168.3,64,91,5.4,,,
WT44,2625,14//14,184.3,-21.1,126,3.6,,,
WT32,2660,9//8,174.4,34,121,5,,,
WT43,2675,10//9,348.6,2.6,12.6,15.1,,,
WT33,2680,6//4,6.6,-6.3,68,11.2,,,
WT34,2765,8//8,6.4,0.9,105,5.4,,,
WT42,2780,6//6,354.3,0.1,9,23.6,,,
WT38,2797,13//13,177.8,28.3,153,3.4,,,
WT35,2900,9//8,190.5,46.5,44,8.5,,,
WT36,2940,9//9,337.3,18.5,3.2,34,,,
WT41,2930,13//12,337.9,-4.6,185,3.2,,,
WT37,3050,7//4,354.1,26.7,39,15,,,
