tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Pancake	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFP:DA-DIR	pmagpy-2.220	9.99E-02	6.00E-02	T		u		222.1	p	-50.5	2	3	-1
	This study	Pancake	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFP:DA-DIR-GEO	pmagpy-2.220	9.99E-02	6.00E-02	T		u		222.1	p	-50.5	2	3	0
	This study	Pancake	JP1-1	JP1	JP1-1	JP1-1:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFP:DA-DIR-TILT	pmagpy-2.220	9.99E-02	6.00E-02	T		u		223.9	p	-56.4	2	3	100
	This study	Pancake	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	9.99E-02	4.00E-02	T		u	0	10.4	l	5.4	2.4	4	-1
	This study	Pancake	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	9.99E-02	4.00E-02	T		u	0	10.4	l	5.4	2.4	4	0
	This study	Pancake	JP1-2	JP1	JP1-2	JP1-2:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	9.99E-02	4.00E-02	T		u	0	10.1	l	11.1	2.4	4	100
	This study	Pancake	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	8.00E-02	4.00E-02	T		u	0	0.4	l	5.8	1.6	3	-1
	This study	Pancake	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	8.00E-02	4.00E-02	T		u	0	0.4	l	5.8	1.6	3	0
	This study	Pancake	JP1-3	JP1	JP1-3	JP1-3:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	8.00E-02	4.00E-02	T		u	0	360	l	11	1.6	3	100
	This study	Pancake	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	9.99E-02	6.00E-02	T		u	0	323.3	l	9.1	4.5	3	-1
	This study	Pancake	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	9.99E-02	6.00E-02	T		u	0	323.3	l	9.1	4.5	3	0
	This study	Pancake	JP1-4	JP1	JP1-4	JP1-4:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	9.99E-02	6.00E-02	T		u	0	322.3	l	11.4	4.5	3	100
	This study	Pancake	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR	pmagpy-2.220	6.00E-02	2.00E-02	T		u	0	339.5	l	-0.9	4.6	4	-1
	This study	Pancake	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	6.00E-02	2.00E-02	T		u	0	339.5	l	-0.9	4.6	4	0
	This study	Pancake	JP1-5	JP1	JP1-5	JP1-5:LP-DIR-T:LP-DIR-AF		LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	6.00E-02	2.00E-02	T		u	0	339.4	l	2.9	4.6	4	100
