,a_95,date,date_error,dec,dec_tc,dip,dip_direction,inc,inc_tc,k,n,paleolatitude,pole_lat,pole_lat_rev,pole_long,pole_long_rev,site_ID,site_lat,site_long
Kgale_Peak_Sill,6.3,1108.0,0.9,189.728558523,189.9,6.0,224.6,5.32921970669,0.4,48.8,12.0,0.200002436969,-63.7043357224,63.7043357224,228.698260256,48.6982602557,PW1_ALL and PW2_AF,-24.68781,25.86215
Rasemong_Sill,8.1,,,14.4,14.4,0.0,0.0,-18.6,-18.6,48.0,8.0,-9.55160179413,69.5516781344,-69.5516781344,70.361232192,250.361232192,PW5_ALL,-24.72715,25.7759
Metsemotlhaba_River_Sill,14.4,,,180.6,180.6,0.0,0.0,-2.7,-2.7,18.5,7.0,-1.35074988934,-64.0957699804,64.0957699804,207.182056642,27.1820566421,PW6_ALL,-24.54694,25.80892
Mabogoapitse_Hill_Sill,9.1,,,184.6,184.6,0.0,0.0,5.1,5.1,33.2,9.0,2.55506099505,-67.6358059274,67.6358059274,217.752635743,37.7526357432,PW7_ALL and PW8_AF,-24.47402,25.59705
Semarule_Hill_Sill,9.1,,,186.8,186.8,0.0,0.0,3.8,3.8,72.2,5.0,1.90209167035,-66.5116731856,66.5116731856,222.846498422,42.8464984215,PW9_ALL,-24.45268,25.57415
Rapitsane_Sill,8.5,,,197.931463565,197.7,7.0,330.0,-4.90384157649,-0.2,43.3,8.0,-0.100000304618,-60.0791332548,60.0791332548,243.139714206,63.1397142059,PW10_ALL,-24.41968,25.58463
Suping_Sill,8.4,,,188.871011471,187.2,10.0,281.2,-9.75348782109,-9.2,20.2,16.0,-4.62984226226,-60.2059976959,60.2059976959,220.093547797,40.0935477967,PW11_ALL and JP15,-24.32765,25.53224
Mogatelwane 2 Sill,14.7,,,193.629005807,193.5,4.0,260.3,-1.21955156966,-2.8,21.6,6.0,-1.40083636947,-61.2558120625,61.2558120625,234.723345393,54.7233453931,PW15_ALL,-24.18042,25.69191
Mosolotsane_1_Sill,4.6,1109.3,0.6,186.853869186,186.1,10.0,262.9,-3.24679446506,-5.6,36.9,27.0,-2.80670295939,-63.6067425646,63.6067425646,220.202745184,40.2027451836,"PW21_AF, PW22_ALL, and JP(22,23,24)",-22.90699,26.38929
Mosolotsane_5_Sill,14.2,,,189.598219854,188.5,10.0,262.9,-5.11195951596,-7.9,19.1,7.0,-3.96886307148,-61.8752502307,61.8752502307,224.598737623,44.5987376234,PW23_ALL,-22.9033,26.37027
