,site_ID,site_lat,site_long,n,dec,inc,dec_tc,inc_tc,a_95,k,date,date_error,dip_direction,dip,paleolatitude,pole_lat,pole_long,pole_lat_rev,pole_long_rev
Kgale_Peak_Sill,PW1_ALL and PW2_AF,-24.68781,25.86215,12.0,189.728558523,5.32921970669,189.9,0.4,6.3,48.8,1108.0,0.9,224.6,6.0,0.200002436969,-63.7043357224,228.698260256,63.7043357224,48.6982602557
Rasemong_Sill,PW5_ALL,-24.72715,25.7759,8.0,14.4,-18.6,14.4,-18.6,8.1,48.0,,,0.0,0.0,-9.55160179413,69.5516781344,70.361232192,-69.5516781344,250.361232192
Metsemotlhaba_River_Sill,PW6_ALL,-24.54694,25.80892,7.0,180.6,-2.7,180.6,-2.7,14.4,18.5,,,0.0,0.0,-1.35074988934,-64.0957699804,207.182056642,64.0957699804,27.1820566421
Mabogoapitse_Hill_Sill,PW7_ALL and PW8_AF,-24.47402,25.59705,9.0,184.6,5.1,184.6,5.1,9.1,33.2,,,0.0,0.0,2.55506099505,-67.6358059274,217.752635743,67.6358059274,37.7526357432
Semarule_Hill_Sill,PW9_ALL,-24.45268,25.57415,5.0,186.8,3.8,186.8,3.8,9.1,72.2,,,0.0,0.0,1.90209167035,-66.5116731856,222.846498422,66.5116731856,42.8464984215
Rapitsane_Sill,PW10_ALL,-24.41968,25.58463,8.0,197.931463565,-4.90384157649,197.7,-0.2,8.5,43.3,,,330.0,7.0,-0.100000304618,-60.0791332548,243.139714206,60.0791332548,63.1397142059
Suping_Sill,PW11_ALL and JP15,-24.32765,25.53224,16.0,188.871011471,-9.75348782109,187.2,-9.2,8.4,20.2,,,281.2,10.0,-4.62984226226,-60.2059976959,220.093547797,60.2059976959,40.0935477967
Mogatelwane 2 Sill,PW15_ALL,-24.18042,25.69191,6.0,193.629005807,-1.21955156966,193.5,-2.8,14.7,21.6,,,260.3,4.0,-1.40083636947,-61.2558120625,234.723345393,61.2558120625,54.7233453931
Mosolotsane_1_Sill,"PW21_AF, PW22_ALL, and JP(22,23,24)",-22.90699,26.38929,27.0,186.853869186,-3.24679446506,186.1,-5.6,4.6,36.9,1109.3,0.6,262.9,10.0,-2.80670295939,-63.6067425646,220.202745184,63.6067425646,40.2027451836
Mosolotsane_5_Sill,PW23_ALL,-22.9033,26.37027,7.0,189.598219854,-5.11195951596,188.5,-7.9,14.2,19.1,,,262.9,10.0,-3.96886307148,-61.8752502307,224.598737623,61.8752502307,44.5987376234
Mosolotsane_4_Sill,PW24_AF,-22.89467,26.3741,8.0,185.443022277,-0.343752732625,185.2,-2.5,7.9,50.3,,,262.9,10.0,-1.25059523917,-65.3291729083,218.911802504,65.3291729083,38.9118025035
Mosolotsane_6_Sill,PW25_AF,-22.8955,26.36726,5.0,188.939128702,14.7594400976,191.2,11.8,9.0,72.7,,,262.9,10.0,5.96323057984,-69.9176760994,240.603735474,69.9176760994,60.6037354736
Mosolotsane_3_Sill,PW26_AF,-22.89259,26.38113,4.0,189.707386748,2.00604805707,189.8,-0.9,16.7,31.3,,,262.9,10.0,-0.450027759975,-64.7841943129,229.928892533,64.7841943129,49.9288925331
Mosolotsane_2_Sill,PW27_AF,-22.89228,26.38196,8.0,187.048910777,4.49700916444,187.6,2.0,5.6,97.5,,,262.9,10.0,1.00030471023,-66.8964433688,226.076067462,66.8964433688,46.0760674623
Shoshong_Sill,"PW28_AF and JP(26,31,33,34)",-23.00519,26.48383,33.0,191.5,-5.4,191.5,-5.4,3.1,65.2,1109.3,0.4,0.0,0.0,-2.70600912097,-61.9495837612,231.53897519,61.9495837612,51.5389751899
Phage_Sill,PW29_AF,-22.77939,26.39372,8.0,193.930453677,1.61911564123,194.0,-0.8,7.8,50.9,,,270.0,10.0,-0.400019496465,-63.111725985,238.73179526,63.111725985,58.7317952602
Moijabana_Sill,PW30_AF,-22.64213,26.4426,5.0,189.4,-10.0,189.4,-10.0,17.9,19.2,,,0.0,0.0,-5.0383687733,-60.8334507375,225.944362952,60.8334507375,45.9443629522
Mokgware_Sill,PW31_ALL and JP30,-22.70685,26.61142,13.0,199.208119877,2.49698411016,199.0,3.8,6.5,42.2,1112.0,0.5,90.1,4.0,1.90209167035,-62.1980619654,250.849029277,62.1980619654,70.8490292771
Sepatamorire_Sill,PW32_ALL,-22.33543,26.82285,8.0,194.1,1.5,194.1,1.5,8.3,45.6,,,0.0,0.0,0.750128532497,-64.4229665319,241.17207009,64.4229665319,61.1720700899
Palapye_dike,PW33_AF,-22.57771,27.28736,7.0,172.504630524,7.09638571202,173.6,13.9,11.4,29.0,,,312.1,9.0,7.05378170912,-73.2970831977,184.649519374,73.2970831977,4.64951937428
Masama_1_Sill,PW34_ALL,-23.81626,26.73769,8.0,169.629936908,-21.1030995725,170.5,-13.6,8.8,40.3,,,10.4,8.0,-6.89714456351,-57.9167299248,188.769619787,57.9167299248,8.76961978676
Masama_3_Sill,PW35_AF and PW37_ALL,-23.81403,26.73541,13.0,188.478041931,-8.69556533205,188.5,-0.7,4.8,75.4,,,10.4,8.0,-0.350013060959,-64.4658360916,226.789049579,64.4658360916,46.7890495786
Masama_2_Sill,PW36_ALL,-23.81453,26.73503,8.0,183.19178272,-4.4370483025,183.2,3.5,7.7,53.1,,,10.4,8.0,1.75163408303,-67.7206265859,215.197971057,67.7206265859,35.1979710566
Dibete_Kop_Sill,PW38_ALL,-23.78171,26.56308,7.0,194.4,0.8,194.4,0.8,9.4,42.4,,,0.0,0.0,0.400019496465,-62.7645022447,239.478088879,62.7645022447,59.4780888794
